title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Won't Go - snuffles",,,,youtube,UG1HUOyL9IA,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=UG1HUOyL9IA
"too late 2 - snuffles",,,,youtube,njowoGhmw6E,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=njowoGhmw6E
"Ruelle - Bad Dream [Official Audio]",,,,youtube,4NmX5vcNK6E,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=4NmX5vcNK6E
"Keep on With It - snuffles",,,,youtube,kg3ed9NRQJo,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=kg3ed9NRQJo
"i don't wanna - snuffles",,,,youtube,A02vT-I4Dds,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=A02vT-I4Dds
"THIS THOUGHT - Frizk & snuffles",,,,youtube,tc8IhElRJkA,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=tc8IhElRJkA
"David Kushner - Daylight (Official Music Video)",,,,youtube,MoN9ql6Yymw,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=MoN9ql6Yymw
"The Chainsmokers, Drew Love - Somebody (Official Video)",,,,youtube,tlILlcCE8Sc,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=tlILlcCE8Sc
"Tom Walker - Leave a Light On (Official Video)",,,,youtube,nqnkBdExjws,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=nqnkBdExjws
"Final Space Official Soundtrack | When the Night is Long (feat. Shelby Merry) | WaterTower",,,,youtube,pwauF7_kWA4,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=pwauF7_kWA4
"Alec Benjamin - Let Me Down Slowly [Official Music Video]",,,,youtube,50VNCymT-Cs,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=50VNCymT-Cs
"you don't know what to feel anymore","a vow",,,youtube,Fk1ZMaOo9vY,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=Fk1ZMaOo9vY
"Alan Walker - Faded",,,,youtube,60ItHLz5WEA,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=60ItHLz5WEA
"The Neighbourhood - Afraid (Official Video - Explicit)",,,,youtube,LILL0AV0938,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=LILL0AV0938
"Sweater Weather","The Neighbourhood",,,youtube,Ao81ziiXHhs,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=Ao81ziiXHhs
LUMINESCENCE,,,,youtube,3Nhn-a2gSlE,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=3Nhn-a2gSlE
"ODESZA - A Moment Apart - Official Audio",,,,youtube,xarC5jAiO7w,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=xarC5jAiO7w
"BKAYE - Glue (Lyrics) Fells Remix",,,,youtube,MuvQXcG5j-w,,"2025-11-14 19:28",,https://www.youtube.com/watch?v=MuvQXcG5j-w
